,Name,0.5,1.5
113,Inwangsan Mountain,"[(113, 16), (113, 52), (113, 123), (113, 129), (113, 143), (113, 150), (113, 157)]","[(113, 0), (113, 3), (113, 6), (113, 9), (113, 10), (113, 11), (113, 14), (113, 15), (113, 16), (113, 19), (113, 34), (113, 37), (113, 47), (113, 49), (113, 51), (113, 52), (113, 54), (113, 57), (113, 61), (113, 62), (113, 70), (113, 78), (113, 83), (113, 86), (113, 89), (113, 92), (113, 95), (113, 96), (113, 101), (113, 105), (113, 108), (113, 111), (113, 115), (113, 117), (113, 119), (113, 121), (113, 123), (113, 125), (113, 127), (113, 129), (113, 131), (113, 135), (113, 136), (113, 138), (113, 141), (113, 143), (113, 144), (113, 150), (113, 156), (113, 157), (113, 164), (113, 170), (113, 171), (113, 173)]"
114,Majang Meat Market,[],"[(114, 58), (114, 80)]"
115,Seoul Museum of History,"[(115, 86), (115, 171)]","[(115, 0), (115, 9), (115, 10), (115, 11), (115, 14), (115, 15), (115, 16), (115, 33), (115, 34), (115, 37), (115, 47), (115, 49), (115, 51), (115, 52), (115, 54), (115, 64), (115, 78), (115, 86), (115, 89), (115, 95), (115, 96), (115, 101), (115, 105), (115, 111), (115, 113), (115, 119), (115, 121), (115, 123), (115, 125), (115, 127), (115, 129), (115, 131), (115, 135), (115, 141), (115, 143), (115, 150), (115, 156), (115, 157), (115, 163), (115, 167), (115, 171), (115, 173)]"
116,Seoul City Wall,"[(116, 79), (116, 110), (116, 140)]","[(116, 22), (116, 24), (116, 30), (116, 31), (116, 36), (116, 43), (116, 46), (116, 60), (116, 73), (116, 74), (116, 79), (116, 84), (116, 97), (116, 110), (116, 140), (116, 142), (116, 162)]"
117,Ikseon-dong Hanok Street,"[(117, 6), (117, 57), (117, 138), (117, 144)]","[(117, 0), (117, 2), (117, 3), (117, 6), (117, 9), (117, 10), (117, 11), (117, 14), (117, 15), (117, 16), (117, 19), (117, 24), (117, 33), (117, 34), (117, 37), (117, 47), (117, 52), (117, 54), (117, 57), (117, 61), (117, 62), (117, 70), (117, 83), (117, 92), (117, 95), (117, 96), (117, 97), (117, 101), (117, 106), (117, 108), (117, 113), (117, 119), (117, 121), (117, 123), (117, 124), (117, 127), (117, 129), (117, 131), (117, 136), (117, 138), (117, 140), (117, 141), (117, 143), (117, 144), (117, 150), (117, 156), (117, 157), (117, 163), (117, 167)]"
118,GOTO Mall,"[(118, 42), (118, 151)]","[(118, 42), (118, 151), (118, 175)]"
119,National Museum of Modern and Contemporary Art Seoul,"[(119, 0), (119, 19), (119, 62), (119, 70), (119, 95), (119, 96), (119, 121)]","[(119, 0), (119, 3), (119, 6), (119, 9), (119, 10), (119, 11), (119, 15), (119, 16), (119, 19), (119, 33), (119, 47), (119, 52), (119, 54), (119, 57), (119, 62), (119, 70), (119, 78), (119, 83), (119, 86), (119, 89), (119, 95), (119, 96), (119, 97), (119, 101), (119, 108), (119, 113), (119, 115), (119, 117), (119, 121), (119, 123), (119, 127), (119, 129), (119, 131), (119, 138), (119, 141), (119, 143), (119, 144), (119, 150), (119, 156), (119, 157), (119, 163), (119, 167), (119, 170)]"
120,Seokchon Lake,"[(120, 35), (120, 112), (120, 159)]","[(120, 8), (120, 29), (120, 35), (120, 94), (120, 112), (120, 159)]"
121,National Palace Museum of Korea,"[(121, 78), (121, 96), (121, 119), (121, 143), (121, 150), (121, 157)]","[(121, 6), (121, 9), (121, 10), (121, 11), (121, 15), (121, 16), (121, 19), (121, 33), (121, 37), (121, 47), (121, 49), (121, 51), (121, 52), (121, 54), (121, 57), (121, 62), (121, 70), (121, 78), (121, 83), (121, 86), (121, 89), (121, 96), (121, 101), (121, 108), (121, 113), (121, 115), (121, 117), (121, 119), (121, 123), (121, 127), (121, 129), (121, 131), (121, 135), (121, 138), (121, 141), (121, 143), (121, 144), (121, 150), (121, 156), (121, 157), (121, 163), (121, 167), (121, 170), (121, 171)]"
122,Hongdae Art Market Free Market,"[(122, 7), (122, 25), (122, 48), (122, 166)]","[(122, 7), (122, 20), (122, 25), (122, 48), (122, 68), (122, 71), (122, 165), (122, 166)]"
123,Poopoo Land,"[(123, 6), (123, 16), (123, 33), (123, 47), (123, 83), (123, 113), (123, 138), (123, 163), (123, 167)]","[(123, 0), (123, 3), (123, 6), (123, 9), (123, 10), (123, 11), (123, 14), (123, 15), (123, 16), (123, 19), (123, 33), (123, 34), (123, 37), (123, 47), (123, 49), (123, 51), (123, 52), (123, 54), (123, 57), (123, 61), (123, 62), (123, 70), (123, 78), (123, 83), (123, 89), (123, 92), (123, 95), (123, 96), (123, 97), (123, 101), (123, 105), (123, 108), (123, 111), (123, 113), (123, 115), (123, 117), (123, 119), (123, 121), (123, 125), (123, 127), (123, 129), (123, 131), (123, 135), (123, 136), (123, 138), (123, 141), (123, 143), (123, 144), (123, 150), (123, 156), (123, 157), (123, 163), (123, 164), (123, 167), (123, 171), (123, 173)]"
