,names,words,tags
94,Majang Meat Market.csv,"['meat', 'market', 'get', 'restaur', 'korean', 'beef', 'bbq', 'place']",['shopping']
95,Mangwon Market.csv,"['market', 'local', 'sell', 'food', 'big', 'one', 'area', 'good', 'shop']",['shopping']
96,Mario outlet.csv,"['shop', 'build', 'good', 'mall', 'outlet', 'price', 'brand']",['shopping']
97,Mecenatpolis Mall.csv,"['area', 'place', 'mall', 'shop', 'visit']",['shopping']
98,Migliore Dongdaemun Shop.csv,"['shop', 'seller', 'get', 'price', 'good', 'miglior', 'cloth', 'mall']",['shopping']
99,Museum Kimchikan.csv,"['kimchi', 'museum', 'visit', 'tast', 'room', 'display', 'make', 'type']",['touring']
100,Myeong-dong Cathedral.csv,"['church', 'mass', 'cathol', 'visit', 'cathedr', 'place', 'dong', 'build']",['touring']
101,Myeongdong NANTA Theater.csv,"['fun', 'audienc', 'much', 'show', 'perform', 'time', 'enjoy', 'recommend']",['touring']
102,Myeongdong Shopping Street.csv,"['myeongdong', 'shop', 'street', 'food', 'place']",['shopping']
103,Myeongdong Underground Shopping Center.csv,"['shop', 'underground', 'myeongdong', 'souvenir', 'lot', 'sell', 'cloth', 'kpop', 'mani']",['shopping']
104,N Seoul Tower.csv,"['view', 'citi', 'seoul', 'tower', 'go', 'walk', 'visit']","['walking', 'touring']"
105,Naksan Park.csv,"['park', 'view', 'mural', 'citi', 'wall', 'seoul', 'walk', 'villag', 'take']","['walking', 'touring']"
106,Naksan Public Art.csv,"['walk', 'see', 'paint', 'place', 'mani', 'mural', 'stair', 'go', 'park']","['walking', 'touring']"
107,Namdaemun Market.csv,"['food', 'street', 'market', 'shop', 'place', 'cloth', 'namdaemun', 'good']",['shopping']
108,Namsan Cable Car.csv,"['view', 'take', 'ride', 'walk', 'get', 'way', 'car', 'cabl', 'seoul']","['walking', 'touring']"
109,Namsan Park.csv,"['view', 'tower', 'seoul', 'place', 'park', 'good', 'cabl', 'car', 'walk']",['walking']
110,Namsangol Hanok Village.csv,"['villag', 'visit', 'free', 'place', 'tradit', 'korean', 'walk', 'hanok']","['walking', 'touring']"
111,National Folk Museum of Korea.csv,"['museum', 'palac', 'time', 'exhibit', 'free', 'korean', 'histori', 'cultur']",['touring']
112,National Hangeul Museum.csv,"['english', 'exhibit', 'also', 'languag', 'interest', 'write', 'museum', 'korean', 'nation']",['touring']
113,National Museum of Korea.csv,"['museum', 'well', 'see', 'visit', 'histori', 'korea', 'exhibit', 'free', 'floor']",['touring']
114,National Museum of Korean Contemporary History.csv,"['korea', 'exhibit', 'modern', 'free', 'good', 'great', 'museum', 'korean', 'histori']",['touring']
115,National Museum of Modern and Contemporary Art Seoul.csv,"['space', 'time', 'art', 'exhibit', 'interest', 'see', 'museum', 'visit']",['touring']
116,National Palace Museum of Korea.csv,"['palac', 'royal', 'gyeongbokgung', 'museum', 'korean', 'free', 'interest', 'english', 'well']",['touring']
117,Noryangjin Fisheries Wholesale Market.csv,"['market', 'fish', 'restaur', 'place', 'experi', 'seafood', 'cook', 'price']",['shopping']
118,Olympic Park.csv,"['park', 'place', 'around', 'olymp', 'see', 'peac', 'seoul']",['walking']
119,Paradise Casino Walkerhill.csv,"['play', 'place', 'get', 'good', 'drink', 'u', 'casino', 'tabl', 'go']",['touring']
120,Poopoo Land.csv,"['kid', 'would', 'visit', 'go', 'get', 'poo', 'place', 'fun', 'poop']",['touring']
121,Samcheongdong-gil Road.csv,"['walk', 'bukchon', 'lot', 'street', 'visit', 'shop', 'place', 'restaur', 'cafe']","['walking', 'shopping']"
122,Samcheonggak.csv,"['place', 'shuttl', 'bus', 'food', 'nice', 'seoul', 'restaur', 'korean', 'lunch']","['shopping', 'walking']"
123,Sebitseom.csv,"['place', 'island', 'nice', 'visit', 'three', 'view', 'river', 'time', 'also']",['walking']
124,Seocho Tourist Information Center.csv,"['stop', 'gangnam', 'u', 'tradit', 'instrument', 'help', 'tri', 'experi', 'korean']",['touring']
125,Seodaemun Museum of Natural History.csv,"['go', 'natur', 'museum', 'trip', 'kid']",['touring']
126,Seodaemun Prison History Hall.csv,"['histori', 'visit', 'place', 'korean', 'english', 'japanes', 'prison', 'museum']",['touring']
127,Seokchon Lake.csv,"['cherri', 'world', 'visit', 'crowd', 'went', 'festiv', 'lake', 'blossom', 'walk']",['walking']
128,Seolleung & Jeongneung Royal Tomb.csv,"['walk', 'place', 'around', 'visit', 'tomb', 'king', 'site', 'see']","['walking', 'touring']"
129,Seonyudo Park.csv,"['island', 'seoul', 'water', 'park', 'great', 'view', 'bridg', 'station', 'seonyudo']",['walking']
130,Seoul Arts Center.csv,"['music', 'concert', 'hall', 'art', 'exhibit', 'seoul', 'great', 'good', 'time']",['touring']
131,Seoul Botanical Garden.csv,"['garden', 'seoul', 'walk', 'visit', 'botan', 'plant']","['walking', 'touring']"
132,Seoul Central Mosque.csv,"['prayer', 'area', 'walk', 'halal', 'mosqu', 'find', 'seoul', 'visit']",['touring']
133,Seoul Children's Grand Park.csv,"['place', 'anim', 'see', 'park', 'zoo', 'child', 'ride', 'also', 'kid']",['touring']
134,Seoul City Hall.csv,"['see', 'look', 'walk', 'citi', 'build', 'hall', 'place', 'floor', 'also']","['walking', 'touring']"
135,Seoul City Wall Museum.csv,"['exhibit', 'visit', 'floor', 'wall', 'citi', 'gate', 'museum', 'seoul', 'free']",['touring']
136,Seoul City Wall.csv,"['walk', 'view', 'gate', 'wall', 'seoul', 'see', 'citi']","['walking', 'touring']"
137,Seoul Daehangno.csv,"['univers', 'food', 'park', 'shop', 'lot', 'theater', 'place', 'restaur', 'area']","['shopping', 'walking', 'touring']"
138,Seoul Folk Flea Market.csv,"['cloth', 'find', 'also', 'market', 'antiqu', 'item', 'place', 'shop', 'stuff']",['shopping']
139,Seoul Forest.csv,"['forest', 'seoul', 'walk', 'deer', 'visit', 'enjoy', 'park', 'place', 'great']",['walking']
140,Seoul International Fireworks Festival.csv,"['amaz', 'firework', 'festiv', 'seoul', 'enjoy']",['touring']
141,Seoul Lantern Festival.csv,"['visit', 'stream', 'even', 'lantern', 'festiv', 'seoul', 'beauti', 'walk', 'nice']","['walking', 'touring']"
142,Seoul Metro.csv,"['english', 'subway', 'time', 'station', 'train', 'one', 'metro', 'seoul', 'get']",[]
143,Seoul Museum of Art.csv,"['museum', 'free', 'interest', 'art', 'seoul', 'visit', 'exhibit', 'korean', 'citi']",['touring']
144,Seoul Museum of History.csv,"['museum', 'citi', 'histori', 'free', 'seoul', 'nice', 'exhibit']",['touring']
145,Seoul National Cemetery.csv,"['cemeteri', 'place', 'nation', 'well', 'peopl', 'go', 'seoul', 'korean', 'visit']",['touring']
146,Seoul Plaza.csv,"['ice', 'skate', 'well', 'seoul', 'plaza', 'citi', 'hotel', 'locat', 'day']",['touring']
147,Seoul Sky.csv,"['see', 'get', 'ticket', 'view', 'seoul', 'tower', 'floor', 'elev', 'build']",['touring']
148,Seoul World Cup Stadium.csv,"['stadium', 'cup', 'world', 'seoul', 'game', 'get', 'place', 'museum', 'match']",['touring']
149,Seoullo 7017.csv,"['plant', 'seoullo', 'nice', 'visit', 'place', 'good', 'seoul', 'walk', 'station']",['walking']
150,Seven Luck Casino Gangbuk Hilton.csv,"['machin', 'player', 'slot', 'food', 'card', 'foreign', 'casino', 'korean', 'place']",['touring']
151,Seven Luck Casino Gangnam Coex.csv,"['casino', 'like', 'place', 'tabl', 'play', 'peopl', 'game', 'go', 'machin']",['touring']
152,Shinsegae Dept. Store Main.csv,"['shinsega', 'go', 'like', 'food', 'floor', 'free', 'store', 'shop', 'good']",['shopping']
153,Shinsegae Gangnam.csv,"['store', 'food', 'depart', 'shinsega', 'floor', 'restaur', 'shop', 'bus', 'lot']",['shopping']
154,Sinchon.csv,"['shop', 'place', 'restaur', 'street', 'food', 'lot', 'area', 'sinchon', 'univers']",['shopping']
155,SRT.csv,"['seat', 'trip', 'hour', 'srt', 'use', 'ktx', 'train', 'busan', 'ticket']",[]
156,Star Avenue at Lotte World.csv,"['hand', 'star', 'lott', 'place', 'photo']",['touring']
157,Starfield COEX Mall.csv,"['mall', 'shop', 'place', 'get', 'coex', 'mani']",['shopping']
158,Starfield Library.csv,"['librari', 'mall', 'coex', 'book', 'read', 'peopl', 'place', 'shop']","['shopping', 'touring']"
159,Statue of Admiral Yi Sun-Sin.csv,"['admir', 'yi', 'sun', 'see', 'visit', 'go', 'statu', 'palac', 'squar']",['touring']
